Source,Chr,Position,Target,Chr,Position,conditioning_marker,Chr,Position,Effect,SE,|Effect|/SE,P_empirical,p_adjusted
D11Mit41_B,11,54.34,INS_24,0,53,D19Mit25_B,19,45.05,0.492809071794427,0.148104055220412,3.32745157491479,0.000598802395209597,0.0165969796055424
D7Mit89_B,7,34.6,BW_24,0,54,D14Mit212_B,14,22.29,0.616132416402106,0.185962285359463,3.31321168274056,9.98003992015439e-05,0.0039766915305644
D3Mit78_B,3,48.81,INS_24,0,55,D17Mit11_B,17,19.72,0.539860195444897,0.16333688725278,3.30519458601785,0.000698602794411141,0.0191585125653571
D15Mit72_B,15,39.98,log_GLU_24,0,56,D10Mit1_B,10,4.25,0.596716718684626,0.181186718266579,3.29338002472499,0.000598802395209597,0.0165969796055424
D15Mit13_B,15,1.84,log_GLU_24,0,57,D11Mit41_B,11,54.34,0.591218695903344,0.179538276013031,3.29299528230088,0.000598802395209597,0.0165969796055424
D15Mit42_B,15,55.72,INS_24,0,58,D10Mit1_B,10,4.25,0.524840690763259,0.159453800443612,3.2914906342973,0.000898203592814339,0.0229187642414292
D15Mit29_B,15,34.16,INS_24,0,59,D10Mit1_B,10,4.25,0.508841631689072,0.155713008540495,3.26781709799629,0.000898203592814339,0.0229187642414292
D9Mit207_B,9,32.76,INS_24,0,60,D8Mit199_B,8,58.7,-0.563451714487806,0.174816873230872,3.22309685600933,0.000998003992015994,0.0229187642414292
D15Mit72_B,15,39.98,BW_24,0,61,D14Mit195_B,14,44.17,0.577346954148917,0.17935785424476,3.21896666627737,0.000299401197604743,0.00924935842600367
D15Mit13_B,15,1.84,BW_24,0,62,D9Mit128_B,9,20.69,0.59336342467251,0.184533830427397,3.21547232449588,0.000299401197604743,0.00924935842600367
D1Mit123_B,1,17.67,D10Mit67_B,10,45.35,NA,0,NA,-1.17345393613791,0.365720670442492,3.20860708999064,0,0
D1Mit213_B,1,22.88,D10Mit67_B,10,45.35,NA,0,NA,-1.20226423747036,0.376933303629948,3.18959408970314,0,0
D12Mit262_B,12,60.56,INS_24,0,63,D14Mit195_B,14,44.17,0.513884929405448,0.161514104844697,3.18167215116953,0.000998003992015994,0.0229187642414292
D18Mit140_B,18,34.41,BW_24,0,64,D2Mit148_B,2,100.49,0.597704237365452,0.18801327835336,3.17905332325572,0.000299401197604743,0.00924935842600367
D15Mit217_B,15,47.22,log_GLU_24,0,65,D3Mit203_B,3,10.82,0.573624526432404,0.180532507940133,3.1774029673516,0.000998003992015994,0.0229187642414292
D15Mit29_B,15,34.16,log_GLU_24,0,66,D16Mit73_B,16,8.31,0.612623111552287,0.194537858582388,3.14912025873276,0.00109780439121754,0.0244795050071709
D15Mit26_B,15,21.96,INS_24,0,67,D6Mit275_B,6,24.55,0.521450989205531,0.166372742861336,3.13423328988533,0.000998003992015994,0.0229187642414292
D2Mit2_B,2,4.24,INS_24,0,68,D2Mit148_B,2,100.49,-0.532005328710361,0.170330334004032,3.12337395344841,0.000998003992015994,0.0229187642414292
D1Mit76_B,1,33.31,D10Mit67_B,10,45.35,NA,0,NA,-1.16048795074109,0.374740875593935,3.09677440151627,0,0
D7Mit89_B,7,34.6,INS_24,0,69,D19Mit25_B,19,45.05,0.460430606515441,0.149402975668135,3.08180345442506,0.00109780439121754,0.0244795050071709
D2Mit2_B,2,4.24,BW_24,0,70,D2Mit148_B,2,100.49,-0.58061334687313,0.189303310514367,3.06710614460736,0.000998003992015994,0.0229187642414292
D2Mit109_B,2,71.17,BW_24,0,71,D9Mit183_B,9,52.51,0.563405775649537,0.184754616317259,3.0494814521011,0.000998003992015994,0.0229187642414292
D1Mit37_B,1,84.93,log_GLU_24,0,72,D16Mit73_B,16,8.31,0.591812547167206,0.194866251864025,3.03701919396574,0.00189620758483033,0.0351789718150828
D10Mit48_B,10,32.19,log_GLU_24,0,73,D3Mit78_B,3,48.81,0.555250075826096,0.183320033531616,3.02885650372923,0.00189620758483033,0.0351789718150828
D15Mit22_B,15,15.1,log_GLU_24,0,74,D16Mit58_B,16,22.55,0.59873037096116,0.197755742024407,3.0276257206593,0.00189620758483033,0.0351789718150828
D19Mit25_B,19,45.05,BW_24,0,75,D11Mit41_B,11,54.34,0.52465211581901,0.173400139507238,3.02567297413916,0.000998003992015994,0.0229187642414292
D1Mit46_B,1,39.16,D10Mit67_B,10,45.35,NA,0,NA,-1.08458148772785,0.358907035445135,3.02190088411807,0.000144780657304167,0.0303600651074192
D15Mit22_B,15,15.1,INS_24,0,76,D6Mit275_B,6,24.55,0.508252791746451,0.169811932594656,2.99303343399112,0.00159680638722559,0.0315411042804979
D6Mit123_B,6,27.76,BW_24,0,77,D2Mit182_B,2,39.53,-0.782174920246734,0.262149138001519,2.98370204918317,0.00109780439121754,0.0244795050071709
D3Mit78_B,3,48.81,D10Mit67_B,10,45.35,NA,0,NA,-1.15420494429616,0.387096748269318,2.98169630578538,0.000144780657304167,0.0303600651074192
D15Mit42_B,15,55.72,BW_24,0,78,D10Mit1_B,10,4.25,0.529527546319963,0.17767586596351,2.98030091733851,0.00109780439121754,0.0244795050071709
D8Mit125_B,8,21.16,BW_24,0,79,D3Mit203_B,3,10.82,0.530751656727448,0.178856815396808,2.9674667725126,0.00119760479041919,0.0256841688523785
D5Mit81_B,5,26.89,INS_24,0,80,D17Mit11_B,17,19.72,0.48182776308219,0.162927409019438,2.95731556760168,0.00189620758483033,0.0351789718150828
D3Mit78_B,3,48.81,BW_24,0,81,D17Mit11_B,17,19.72,0.537499396081438,0.182225338198752,2.94964136927649,0.00119760479041919,0.0256841688523785
D15Mit180_B,15,15.74,INS_24,0,82,D2Mit148_B,2,100.49,0.508424789917655,0.172706766623403,2.94386143552965,0.00199600798403199,0.0365406752632311
D5Mit7_B,5,47.29,BW_24,0,83,D17Mit11_B,17,19.72,0.536961382631477,0.183017547753411,2.93393387258665,0.00129740518962074,0.0274557917803533
D12Mit150_B,12,62.59,INS_24,0,84,D14Mit195_B,14,44.17,0.474430557156393,0.162219531716386,2.92462043341277,0.00219560878243508,0.0393277293557828
D1Mit411_B,1,12.62,D10Mit48_B,10,32.19,NA,0,NA,-1.03503842851459,0.355121687457331,2.91460213518768,0.000144780657304167,0.0303600651074192
D8Mit199_B,8,58.7,INS_24,0,85,D9Mit183_B,9,52.51,-0.490705405767734,0.168835360497476,2.90641370576556,0.00239520958083828,0.0417502526433272
D1Mit37_B,1,84.93,INS_24,0,86,D16Mit73_B,16,8.31,0.490018459542793,0.16872282397344,2.90428080803064,0.00239520958083828,0.0417502526433272
D7Mit282_B,7,62.85,INS_24,0,87,D8Mit199_B,8,58.7,0.50994665372665,0.175881239604248,2.89938059837471,0.00239520958083828,0.0417502526433272
D6Mit1_B,6,6.68,BW_24,0,88,D2Mit182_B,2,39.53,-0.768577977164528,0.26513790794408,2.8987857041047,0.00139720558882239,0.0286337492832703
D1Mit411_B,1,12.62,D10Mit67_B,10,45.35,NA,0,NA,-1.15198195311064,0.400026215089849,2.87976614945572,0.000144780657304167,0.0303600651074192
D13Mit54_B,13,28.71,log_GLU_24,0,89,D9Mit207_B,9,32.76,-0.539112342635955,0.187399247219618,2.87681167685885,0.00339321357285427,0.0552495009980036
D15Mit29_B,15,34.16,BW_24,0,90,D14Mit195_B,14,44.17,0.516605173872198,0.179703961445007,2.87475673723692,0.00149700598802394,0.0301726643799777
D10Mit268_B,10,70.15,INS_24,0,91,D14Mit195_B,14,44.17,0.470734710124545,0.164036940519567,2.86968720968308,0.00289421157684633,0.0486903017304131
D4Mit146_B,4,51.36,BW_24,0,92,D16Mit73_B,16,8.31,0.542185524129723,0.188949054724984,2.86947995013193,0.00149700598802394,0.0301726643799777
D1Mit123_B,1,17.67,D12Mit150_B,12,62.59,NA,0,NA,-1.00530475364635,0.350991076582975,2.86418892307279,0.000144780657304167,0.0303600651074192
D10Mit67_B,10,45.35,INS_24,0,93,D2Mit120_B,2,19.38,0.476682255277876,0.167697699557642,2.84250920874456,0.00329341317365273,0.0541769076743508
D6Mit275_B,6,24.55,BW_24,0,94,D2Mit182_B,2,39.53,-0.733555630194488,0.258339378782368,2.83950373207507,0.00179640718562879,0.0345629408467597
D12Mit46_B,12,15.67,log_GLU_24,0,95,D2Mit133_B,2,59.97,0.529413370156698,0.186671113348711,2.83607549480742,0.00379241516966067,0.0601915435184675
D13Mit53_B,13,63.73,log_GLU_24,0,96,D13Mit54_B,13,28.71,0.589730305573454,0.207971093690063,2.83563592954087,0.00379241516966067,0.0601915435184675
D12Mit46_B,12,15.67,INS_24,0,97,D2Mit133_B,2,59.97,0.458763826356153,0.161808256891777,2.83523124943488,0.00349301397205593,0.0563441880807157
D10Mit67_B,10,45.35,BW_24,0,98,D2Mit2_B,2,4.24,0.535810849235502,0.189609248137438,2.82586875112294,0.00189620758483033,0.0351789718150828
D15Mit180_B,15,15.74,BW_24,0,99,D2Mit148_B,2,100.49,0.541548547667412,0.191667252225874,2.82546205143701,0.00189620758483033,0.0351789718150828
D19Mit25_B,19,45.05,INS_24,0,100,D1Mit76_B,1,33.31,0.449403545226275,0.159342685648888,2.82035879711816,0.00369261477045912,0.0589228921097089
D15Mit22_B,15,15.1,BW_24,0,101,D2Mit148_B,2,100.49,0.535590271613419,0.190349838856878,2.81371539282533,0.00189620758483033,0.0351789718150828
D5Mit81_B,5,26.89,BW_24,0,102,D17Mit11_B,17,19.72,0.507797280960014,0.181888028348976,2.79181255396171,0.00219560878243508,0.0393277293557828
D7Mit89_B,7,34.6,log_GLU_24,0,103,D5Mit7_B,5,47.29,0.532278536995419,0.191341352435137,2.78182698209921,0.0052894211576846,0.0750569946914096
D5Mit98_B,5,76.99,INS_24,0,104,D8Mit131_B,8,33.07,0.445687594188424,0.160222459233814,2.78167989880887,0.00429141716566861,0.0651717778780398
D3Mit22_B,3,32.25,INS_24,0,105,D10Mit1_B,10,4.25,0.455034395034415,0.163665900969677,2.78026389332449,0.00429141716566861,0.0651717778780398
pgm,0,4,D15Mit180_B,15,15.74,NA,0,NA,-1.2345312426272,0.444268089306678,2.77879792031384,0.000144780657304167,0.0303600651074192
D8Mit131_B,8,33.07,INS_24,0,106,D5Mit98_B,5,76.99,0.488009870724,0.176051271794556,2.77197583266246,0.00439121756487026,0.0662994011976048
D9Mit128_B,9,20.69,INS_24,0,107,D9Mit183_B,9,52.51,-0.491687789383458,0.17771008479212,2.76679733712704,0.00439121756487026,0.0662994011976048
D3Mit22_B,3,32.25,log_GLU_24,0,108,D10Mit1_B,10,4.25,0.518314878722328,0.188279564455033,2.75290034913012,0.00578842315369266,0.0779803145169757
D6Mit1_B,6,6.68,INS_24,0,109,D2Mit182_B,2,39.53,-0.653785964614051,0.237633231549353,2.75123963240078,0.00469061876247501,0.0695055285574455
D5Mit7_B,5,47.29,INS_24,0,110,D17Mit11_B,17,19.72,0.451517049940611,0.164349744603286,2.7472938946787,0.00479041916167666,0.0699360772126635
D7Mit282_B,7,62.85,BW_24,0,111,D8Mit199_B,8,58.7,0.535612661630387,0.196050951042344,2.73200746429791,0.00279441117764467,0.047550800039265
D2Mit148_B,2,100.49,log_GLU_24,0,112,D9Mit128_B,9,20.69,-0.523113695075643,0.191874795523519,2.72632835202955,0.00638722554890214,0.0839764423022219
D10Mit48_B,10,32.19,INS_24,0,113,D2Mit120_B,2,19.38,0.450742730174557,0.165692629887181,2.72035473443487,0.00538922155688626,0.0753909969817781
D6Mit123_B,6,27.76,INS_24,0,114,D2Mit182_B,2,39.53,-0.640611020755797,0.235786998085791,2.71690562226298,0.00538922155688626,0.0753909969817781
D5Mit98_B,5,76.99,log_GLU_24,0,115,D8Mit131_B,8,33.07,0.500736151901546,0.184512097122139,2.7138391450295,0.00658682634730534,0.0854640718562868
D16Mit73_B,16,8.31,log_GLU_24,0,116,D12Mit262_B,12,60.56,-0.495802279861421,0.182924729001962,2.71041691610817,0.00698602794411174,0.0892491939198521
D2Mit148_B,2,100.49,D18Mit60_B,18,18.04,NA,0,NA,-0.651477531176879,0.240964038720739,2.70362969775709,0.000144780657304167,0.0303600651074192
D1Mit213_B,1,22.88,D10Mit48_B,10,32.19,NA,0,NA,-1.04816314655684,0.388302602982433,2.69934617616833,0.000144780657304167,0.0303600651074192
D1Mit76_B,1,33.31,D12Mit132_B,12,57.68,NA,0,NA,-0.801358541501907,0.297303016981107,2.69542687336009,0.000144780657304167,0.0303600651074192
D12Mit259_B,12,45.02,log_GLU_24,0,117,D4Mit146_B,4,51.36,0.488888056419924,0.182121544798801,2.6844053895986,0.00788423153692619,0.0968500868086318
D1Mit200_B,1,63.84,log_GLU_24,0,118,D16Mit73_B,16,8.31,0.529231107447921,0.197283204756448,2.68259585554316,0.00788423153692619,0.0968500868086318
D15Mit26_B,15,21.96,BW_24,0,119,D6Mit275_B,6,24.55,0.498877540967648,0.186078004851161,2.6810129513517,0.00359281437125747,0.0577297417548801
D14Mit212_B,14,22.29,BW_24,0,120,D12Mit231_B,12,50.87,0.476171615198864,0.177827614069357,2.67771469403591,0.00389221556886232,0.0607536806087081
D15Mit42_B,15,55.72,log_GLU_24,0,121,D10Mit1_B,10,4.25,0.491316511468658,0.183931441162209,2.6711937250324,0.00818363273453093,0.0984311793562353
D1Mit123_B,1,17.67,D12Mit132_B,12,57.68,NA,0,NA,-0.807065408647382,0.302267531308275,2.67003672261536,0.000144780657304167,0.0303600651074192
D17Mit61_B,17,15.71,log_GLU_24,0,122,D9Mit128_B,9,20.69,0.509971206634694,0.191120773738256,2.66831907730298,0.00818363273453093,0.0984311793562353
D10Mit48_B,10,32.19,BW_24,0,123,D2Mit120_B,2,19.38,0.490870777653473,0.184271610115703,2.66384375403926,0.00409181636726552,0.0631569574605444
D17Mit247_B,17,5.53,log_GLU_24,0,124,D9Mit128_B,9,20.69,0.516386192394196,0.194319582344828,2.65740686637463,0.00888223552894207,0.103884625115965
D2Mit148_B,2,100.49,BW_24,0,125,D15Mit180_B,15,15.74,0.492378450851904,0.185531335695045,2.65388296272075,0.00419161676646707,0.0642198996840268
D2Mit148_B,2,100.49,D18Mit140_B,18,34.41,NA,0,NA,-0.763290284983283,0.287666005817994,2.65339063200334,0.000144780657304167,0.0303600651074192
D17Mit11_B,17,19.72,INS_24,0,126,D5Mit81_B,5,26.89,0.43116383675314,0.162852043768628,2.64758013946522,0.0068862275449102,0.0882457307607011
D6Mit275_B,6,24.55,INS_24,0,127,D2Mit182_B,2,39.53,-0.614785943224795,0.232315451683462,2.64634116572867,0.0068862275449102,0.0882457307607011
D19Mit46_B,19,29.06,BW_24,0,128,D11Mit41_B,11,54.34,0.457839679983408,0.174199319065469,2.62825183496463,0.00479041916167666,0.0699360772126635
D14Mit195_B,14,44.17,BW_24,0,129,D12Mit231_B,12,50.87,0.456516407456653,0.174433446570805,2.61713803419774,0.00479041916167666,0.0699360772126635
D6Mit55_B,6,53.05,BW_24,0,130,D3Mit78_B,3,48.81,-0.465870948839625,0.178217862726217,2.61405305682129,0.00479041916167666,0.0699360772126635
D1Mit123_B,1,17.67,D10Mit48_B,10,32.19,NA,0,NA,-1.01603234626595,0.389927638167942,2.60569461308189,0.000144780657304167,0.0303600651074192
D12Mit259_B,12,45.02,D14Mit212_B,14,22.29,NA,0,NA,-1.3249839541122,0.508675504047175,2.60477247984271,0.000144780657304167,0.0303600651074192
D9Mit183_B,9,52.51,log_GLU_24,0,131,D3Mit19_B,3,80.73,0.508792041177426,0.196266687187538,2.59235048223574,0.0107784431137724,0.116541916167664
D8Mit131_B,8,33.07,log_GLU_24,0,132,D8Mit199_B,8,58.7,0.640997392119015,0.247572719933605,2.58912772090124,0.0107784431137724,0.116541916167664
D12Mit204_B,12,39.74,BW_24,0,133,D14Mit212_B,14,22.29,0.489842242106519,0.189357049557971,2.58687090472729,0.00518962075848306,0.0737921417439098
D17Mit240_B,17,40.77,BW_24,0,134,D5Mit158_B,5,55.99,0.483309286637955,0.186899464118177,2.58593190150806,0.00518962075848306,0.0737921417439098
D2Mit120_B,2,19.38,log_GLU_24,0,135,D15Mit217_B,15,47.22,-0.460903478848607,0.178619722716867,2.5803616299371,0.0108782435129741,0.116890442717051
D17Mit83_B,17,18.5,log_GLU_24,0,136,D9Mit128_B,9,20.69,0.496009779763258,0.192864779009965,2.57180073162882,0.0112774451097805,0.119448857387267
D5Mit158_B,5,55.99,BW_24,0,137,D17Mit240_B,17,40.77,0.472523206311937,0.184026241758158,2.56769470374184,0.005688622754491,0.0767853110424143
D8Mit131_B,8,33.07,BW_24,0,138,D5Mit158_B,5,55.99,0.479272145166667,0.187263364207302,2.55934815224247,0.005688622754491,0.0767853110424143
D1Mit76_B,1,33.31,D10Mit48_B,10,32.19,NA,0,NA,-1.00009804915279,0.392290504591489,2.54938123010201,0.000144780657304167,0.0303600651074192
D3Mit22_B,3,32.25,BW_24,0,139,D9Mit207_B,9,32.76,0.470312697312339,0.184889154153013,2.54375492963266,0.005688622754491,0.0767853110424143
D4Mit166_B,4,43.27,BW_24,0,140,D14Mit195_B,14,44.17,0.468712822259578,0.18448484570204,2.54065758342337,0.005688622754491,0.0767853110424143
D2Mit2_B,2,4.24,log_GLU_24,0,141,D12Mit231_B,12,50.87,-0.462920911396856,0.182715971487701,2.53355471679725,0.0126746506986027,0.126929931742881
D18Mit60_B,18,18.04,INS_24,0,142,D2Mit148_B,2,100.49,0.431053275440203,0.170542381902096,2.52754342136291,0.0105788423153692,0.115648639529787
D7Mit89_B,7,34.6,D14Mit212_B,14,22.29,NA,0,NA,-1.31080831213577,0.518733419321751,2.5269401648532,0.000289561314608333,0.0555734018631584
D6Mit9_B,6,37.74,BW_24,0,143,D16Mit58_B,16,22.55,-0.477644438184192,0.191021369953049,2.50047645612421,0.0064870259481038,0.0844859841170859
D9Mit128_B,9,20.69,log_GLU_24,0,144,D2Mit148_B,2,100.49,-0.491276560323988,0.196649375702261,2.49823605373561,0.0140718562874251,0.135875226291602
D7Mit89_B,7,34.6,D11Mit41_B,11,54.34,NA,0,NA,-1.17010032725381,0.470142756360595,2.48881921804269,0.000289561314608333,0.0555734018631584
D1Mit37_B,1,84.93,BW_24,0,145,D14Mit195_B,14,44.17,0.448216325457355,0.181450483531631,2.47018534607113,0.00788423153692619,0.0968500868086318
D17Mit240_B,17,40.77,INS_24,0,146,D5Mit158_B,5,55.99,0.414411026823076,0.168416877754766,2.46062646658552,0.0129740518962076,0.129242474743412
D12Mit46_B,12,15.67,BW_24,0,147,D2Mit148_B,2,100.49,0.463582581705007,0.189055278047967,2.45210071092216,0.00818363273453093,0.0984311793562353
D16Mit73_B,16,8.31,INS_24,0,148,D17Mit83_B,17,18.5,-0.405802523332767,0.166370236308865,2.43915337464207,0.0135728542914172,0.133288767781372
D17Mit240_B,17,40.77,log_GLU_24,0,149,D10Mit268_B,10,70.15,0.455397132333553,0.187274594288384,2.43170801711783,0.0176646706586826,0.157796283508714
D3Mit203_B,3,10.82,BW_24,0,150,D8Mit125_B,8,21.16,0.418242544964331,0.172045113707893,2.43100507739176,0.00908183632734527,0.104977128149047
D5Mit158_B,5,55.99,INS_24,0,151,D17Mit11_B,17,19.72,0.399475706859887,0.164393765790437,2.42999304103249,0.0138722554890219,0.134448190453826
D1Mit213_B,1,22.88,D12Mit150_B,12,62.59,NA,0,NA,-0.910748748932218,0.376398177052321,2.41964176358277,0.000723903286520944,0.0821214875856546
D10Mit268_B,10,70.15,BW_24,0,152,D14Mit195_B,14,44.17,0.439188634549395,0.181963808169255,2.41360432587166,0.00938123752495013,0.10689050000986
D1Mit76_B,1,33.31,D12Mit262_B,12,60.56,NA,0,NA,-0.847413280525403,0.351149933418804,2.41325200399433,0.000723903286520944,0.0821214875856546
D1Mit46_B,1,39.16,D10Mit48_B,10,32.19,NA,0,NA,-0.944263020730778,0.392371874663636,2.40655123800669,0.000723903286520944,0.0821214875856546
D5Mit98_B,5,76.99,BW_24,0,153,D17Mit240_B,17,40.77,0.453952278776216,0.188898865232695,2.40314984537898,0.0103792415169661,0.115041673193922
